symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMD,2018-05-11 00:00:00+00:00,11.95,12.03,11.69,11.89,43863746,11.95,12.03,11.69,11.89,43863746,0.0,1.0
AMD,2018-05-14 00:00:00+00:00,12.23,12.36,12.11,12.14,50263792,12.23,12.36,12.11,12.14,50263792,0.0,1.0
AMD,2018-05-15 00:00:00+00:00,12.45,12.46,12.16,12.18,44183179,12.45,12.46,12.16,12.18,44183179,0.0,1.0
AMD,2018-05-16 00:00:00+00:00,12.82,12.98,12.62,12.64,73363996,12.82,12.98,12.62,12.64,73363996,0.0,1.0
AMD,2018-05-17 00:00:00+00:00,12.82,12.9,12.66,12.79,38692510,12.82,12.9,12.66,12.79,38692510,0.0,1.0
AMD,2018-05-18 00:00:00+00:00,13.0,13.26,12.91,13.06,54063411,13.0,13.26,12.91,13.06,54063411,0.0,1.0
AMD,2018-05-21 00:00:00+00:00,12.99,13.31,12.88,13.25,49714221,12.99,13.31,12.88,13.25,49714221,0.0,1.0
AMD,2018-05-22 00:00:00+00:00,12.98,13.14,12.71,13.0,43267033,12.98,13.14,12.71,13.0,43267033,0.0,1.0
AMD,2018-05-23 00:00:00+00:00,13.1,13.18,12.9,12.93,44517762,13.1,13.18,12.9,12.93,44517762,0.0,1.0
AMD,2018-05-24 00:00:00+00:00,13.41,13.43,13.03,13.06,47785726,13.41,13.43,13.03,13.06,47785726,0.0,1.0
AMD,2018-05-25 00:00:00+00:00,13.54,13.72,13.36,13.4,43850067,13.54,13.72,13.36,13.4,43850067,0.0,1.0
AMD,2018-05-29 00:00:00+00:00,13.36,13.63,13.26,13.45,39578498,13.36,13.63,13.26,13.45,39578498,0.0,1.0
AMD,2018-05-30 00:00:00+00:00,13.82,13.95,13.48,13.48,58186435,13.82,13.95,13.48,13.48,58186435,0.0,1.0
AMD,2018-05-31 00:00:00+00:00,13.73,13.93,13.69,13.74,46797677,13.73,13.93,13.69,13.74,46797677,0.0,1.0
AMD,2018-06-01 00:00:00+00:00,14.4,14.4,13.92,13.98,71677869,14.4,14.4,13.92,13.98,71677869,0.0,1.0
AMD,2018-06-04 00:00:00+00:00,14.85,14.98,14.52,14.76,74545986,14.85,14.98,14.52,14.76,74545986,0.0,1.0
AMD,2018-06-05 00:00:00+00:00,14.85,14.92,14.63,14.85,56122654,14.85,14.92,14.63,14.85,56122654,0.0,1.0
AMD,2018-06-06 00:00:00+00:00,15.67,15.74,15.04,15.07,97089040,15.67,15.74,15.04,15.07,97089040,0.0,1.0
AMD,2018-06-07 00:00:00+00:00,14.89,15.97,14.85,15.83,99860297,14.89,15.97,14.85,15.83,99860297,0.0,1.0
AMD,2018-06-08 00:00:00+00:00,15.25,15.33,14.31,14.52,81930486,15.25,15.33,14.31,14.52,81930486,0.0,1.0
AMD,2018-06-11 00:00:00+00:00,15.73,15.89,15.01,15.21,80737640,15.73,15.89,15.01,15.21,80737640,0.0,1.0
AMD,2018-06-12 00:00:00+00:00,15.85,15.95,15.43,15.84,67002592,15.85,15.95,15.43,15.84,67002592,0.0,1.0
AMD,2018-06-13 00:00:00+00:00,16.32,16.52,15.78,15.81,90227322,16.32,16.52,15.78,15.81,90227322,0.0,1.0
AMD,2018-06-14 00:00:00+00:00,16.25,16.79,15.58,16.62,113048551,16.25,16.79,15.58,16.62,113048551,0.0,1.0
AMD,2018-06-15 00:00:00+00:00,16.34,16.52,15.82,16.06,77612174,16.34,16.52,15.82,16.06,77612174,0.0,1.0
AMD,2018-06-18 00:00:00+00:00,17.11,17.34,16.13,16.18,104317396,17.11,17.34,16.13,16.18,104317396,0.0,1.0
AMD,2018-06-19 00:00:00+00:00,16.69,17.29,16.31,16.85,92542859,16.69,17.29,16.31,16.85,92542859,0.0,1.0
AMD,2018-06-20 00:00:00+00:00,16.52,17.13,16.37,16.83,76280646,16.52,17.13,16.37,16.83,76280646,0.0,1.0
AMD,2018-06-21 00:00:00+00:00,15.65,16.87,15.46,16.65,95638369,15.65,16.87,15.46,16.65,95638369,0.0,1.0
AMD,2018-06-22 00:00:00+00:00,15.8,15.91,15.56,15.78,59257099,15.8,15.91,15.56,15.78,59257099,0.0,1.0
AMD,2018-06-25 00:00:00+00:00,15.11,15.74,14.54,15.64,94418420,15.11,15.74,14.54,15.64,94418420,0.0,1.0
AMD,2018-06-26 00:00:00+00:00,15.5,15.6,15.1,15.32,54213466,15.5,15.6,15.1,15.32,54213466,0.0,1.0
AMD,2018-06-27 00:00:00+00:00,14.97,15.76,14.96,15.65,56014335,14.97,15.76,14.96,15.65,56014335,0.0,1.0
AMD,2018-06-28 00:00:00+00:00,15.31,15.36,14.75,14.85,48716794,15.31,15.36,14.75,14.85,48716794,0.0,1.0
AMD,2018-06-29 00:00:00+00:00,14.99,15.49,14.98,15.41,41527791,14.99,15.49,14.98,15.41,41527791,0.0,1.0
AMD,2018-07-02 00:00:00+00:00,15.16,15.18,14.74,14.8,43398768,15.16,15.18,14.74,14.8,43398768,0.0,1.0
AMD,2018-07-03 00:00:00+00:00,15.0,15.34,14.96,15.21,32094031,15.0,15.34,14.96,15.21,32094031,0.0,1.0
AMD,2018-07-05 00:00:00+00:00,15.5,15.5,15.02,15.13,40703271,15.5,15.5,15.02,15.13,40703271,0.0,1.0
AMD,2018-07-06 00:00:00+00:00,16.36,16.39,15.48,15.52,65101672,16.36,16.39,15.48,15.52,65101672,0.0,1.0
AMD,2018-07-09 00:00:00+00:00,16.61,16.84,16.17,16.73,58525542,16.61,16.84,16.17,16.73,58525542,0.0,1.0
AMD,2018-07-10 00:00:00+00:00,16.55,16.65,16.31,16.59,37092975,16.55,16.65,16.31,16.59,37092975,0.0,1.0
AMD,2018-07-11 00:00:00+00:00,16.27,16.53,16.02,16.15,42544103,16.27,16.53,16.02,16.15,42544103,0.0,1.0
AMD,2018-07-12 00:00:00+00:00,16.56,16.79,16.38,16.41,44188137,16.56,16.79,16.38,16.41,44188137,0.0,1.0
AMD,2018-07-13 00:00:00+00:00,16.27,16.69,16.22,16.68,40698475,16.27,16.69,16.22,16.68,40698475,0.0,1.0
AMD,2018-07-16 00:00:00+00:00,16.58,17.0,16.41,16.42,65275291,16.58,17.0,16.41,16.42,65275291,0.0,1.0
AMD,2018-07-17 00:00:00+00:00,16.87,16.88,16.48,16.5,42313518,16.87,16.88,16.48,16.5,42313518,0.0,1.0
